Date,Open,High,Low,Close,Adj Close,Volume
2021-11-03,483.79998779296875,495.0,481.6000061035156,484.8999938964844,484.8999938964844,22950198
2021-11-04,489.79998779296875,493.54998779296875,488.0,489.70001220703125,489.70001220703125,5531940
2021-11-08,493.8999938964844,504.8500061035156,490.25,501.3999938964844,501.3999938964844,31736426
2021-11-09,505.0,520.6500244140625,503.5,509.6499938964844,509.6499938964844,50458762
2021-11-10,506.25,515.9500122070312,500.20001220703125,510.75,510.75,26615777
2021-11-11,510.0,519.0,501.0,503.45001220703125,503.45001220703125,29256213
2021-11-12,506.95001220703125,509.54998779296875,497.3500061035156,507.04998779296875,507.04998779296875,20731808
2021-11-15,506.25,514.9000244140625,504.5,505.45001220703125,505.45001220703125,18014977
2021-11-16,506.8999938964844,526.8499755859375,506.20001220703125,519.0499877929688,519.0499877929688,55897781
2021-11-17,520.25,536.7000122070312,520.25,530.1500244140625,530.1500244140625,48463415
2021-11-18,531.4500122070312,534.2000122070312,501.29998779296875,509.70001220703125,509.70001220703125,47197742
2021-11-22,512.25,512.25,478.3999938964844,486.1000061035156,486.1000061035156,40044849
2021-11-23,484.3999938964844,499.3500061035156,477.0,495.5,495.5,27553684
2021-11-24,499.0,501.79998779296875,485.29998779296875,488.6499938964844,488.6499938964844,20915837
2021-11-25,490.79998779296875,495.1499938964844,486.5,492.75,492.75,15336539
2021-11-26,486.0,486.75,458.0,460.20001220703125,460.20001220703125,51787989
2021-11-29,457.0,470.75,443.1000061035156,461.45001220703125,461.45001220703125,42819150
2021-11-30,466.54998779296875,478.0,455.6499938964844,458.6000061035156,458.6000061035156,35471800
2021-12-01,467.8500061035156,478.3999938964844,463.54998779296875,475.25,475.25,28256188
2021-12-02,479.3999938964844,480.45001220703125,471.70001220703125,479.1000061035156,479.1000061035156,21012008
2021-12-03,480.0,484.70001220703125,477.29998779296875,480.1000061035156,480.1000061035156,20948900
2021-12-06,480.1000061035156,480.8999938964844,466.0,467.20001220703125,467.20001220703125,17473075
2021-12-07,476.8500061035156,484.8999938964844,471.0,481.79998779296875,481.79998779296875,21280797
2021-12-08,484.5,495.95001220703125,483.5,493.8999938964844,493.8999938964844,20581817
2021-12-09,498.0,498.5,489.54998779296875,493.95001220703125,493.95001220703125,16951593
2021-12-10,487.75,496.79998779296875,486.54998779296875,494.45001220703125,494.45001220703125,14567815
2021-12-13,499.45001220703125,506.3999938964844,494.20001220703125,495.3500061035156,495.3500061035156,21921272
2021-12-14,491.95001220703125,491.95001220703125,483.29998779296875,489.3999938964844,489.3999938964844,17722547
2021-12-15,487.79998779296875,497.70001220703125,487.25,491.6499938964844,491.6499938964844,16263723
2021-12-16,495.0,496.5,487.3999938964844,491.95001220703125,491.95001220703125,13581352
2021-12-17,488.0,488.8500061035156,468.20001220703125,470.20001220703125,470.20001220703125,27341178
2021-12-20,459.8999938964844,460.0,440.0,447.04998779296875,447.04998779296875,33007516
2021-12-21,452.1000061035156,460.8999938964844,449.8500061035156,453.6000061035156,453.6000061035156,18838054
2021-12-22,458.1499938964844,472.1499938964844,458.1499938964844,470.5,470.5,22730750
2021-12-23,476.0,478.0,470.95001220703125,472.3500061035156,472.3500061035156,12116814
2021-12-24,474.8999938964844,474.8999938964844,460.0,467.6000061035156,467.6000061035156,15487368
2021-12-27,465.70001220703125,472.45001220703125,460.1000061035156,471.1499938964844,471.1499938964844,12557565
2021-12-28,475.20001220703125,482.79998779296875,472.6499938964844,480.20001220703125,480.20001220703125,22860916
2021-12-29,478.75,481.6000061035156,474.25,476.0,476.0,10263884
2021-12-30,472.54998779296875,476.3999938964844,468.6000061035156,470.3999938964844,470.3999938964844,11923961
2021-12-31,472.70001220703125,483.6000061035156,471.8500061035156,482.3999938964844,482.3999938964844,15541446
2022-01-03,493.5,500.8500061035156,492.0,497.6000061035156,497.6000061035156,32748423
2022-01-04,496.79998779296875,499.0,484.04998779296875,489.6000061035156,489.6000061035156,24100985
2022-01-05,486.95001220703125,492.75,483.54998779296875,489.75,489.75,15420105
2022-01-06,481.5,492.95001220703125,477.1000061035156,488.8500061035156,488.8500061035156,16563230
2022-01-07,490.04998779296875,495.5,483.75,490.6000061035156,490.6000061035156,15532165
2022-01-10,493.1000061035156,504.8999938964844,491.29998779296875,503.70001220703125,503.70001220703125,25193771
2022-01-11,503.0,507.8999938964844,498.1499938964844,501.29998779296875,501.29998779296875,16269193
2022-01-12,505.8500061035156,511.8500061035156,503.5,507.25,507.25,16255334
2022-01-13,504.0,513.7999877929688,494.79998779296875,511.95001220703125,511.95001220703125,27572553
2022-01-14,509.0,515.4000244140625,505.6499938964844,509.8999938964844,509.8999938964844,12655602
2022-01-17,514.7999877929688,526.9000244140625,512.0,525.0,525.0,27942414
2022-01-18,527.9000244140625,528.5,507.1499938964844,510.79998779296875,510.79998779296875,19353195
2022-01-19,510.0,522.2000122070312,504.79998779296875,520.8499755859375,520.8499755859375,21799071
2022-01-20,519.9500122070312,523.2000122070312,512.0,515.7000122070312,515.7000122070312,18364451
2022-01-21,510.3999938964844,513.8499755859375,494.25,501.8500061035156,501.8500061035156,17946821
2022-01-24,499.70001220703125,504.29998779296875,473.3500061035156,478.45001220703125,478.45001220703125,25228959
2022-01-25,473.79998779296875,492.5,467.6499938964844,490.54998779296875,490.54998779296875,22565698
2022-01-27,480.75,502.70001220703125,476.6000061035156,494.3999938964844,494.3999938964844,26676094
2022-01-28,500.5,509.3500061035156,495.29998779296875,497.29998779296875,497.29998779296875,21784640
2022-01-31,505.0,520.0,498.20001220703125,517.75,517.75,27306578
2022-02-01,508.0,514.75,493.0,504.29998779296875,504.29998779296875,48030231
2022-02-02,508.6000061035156,514.4500122070312,505.1499938964844,506.3999938964844,506.3999938964844,14311040
